id,Insult
1.0,0.2042
2.0,0.7359
3.0,0.0733
4.0,0.0573
5.0,0.8102
6.0,0.9999
7.0,0.5120
8.0,0.0853
9.0,0.6507
10.0,0.9966
11.0,0.4362
12.0,0.8243
13.0,0.0045
14.0,0.9984
15.0,0.9999
16.0,0.2657
17.0,0.0443
18.0,0.2993
19.0,0.9089
20.0,0.9122
21.0,0.0775
22.0,0.4677
23.0,0.6043
24.0,0.9884
25.0,0.3721
26.0,0.8852
27.0,0.4182
28.0,0.1801
29.0,0.1192
30.0,0.1644
31.0,0.3021
32.0,0.0616
33.0,0.5554
34.0,0.0495
35.0,0.9987
36.0,0.0469
37.0,0.3626
38.0,0.9803
39.0,0.1191
40.0,0.5898
41.0,0.9826
42.0,1.2162
43.0,0.3862
44.0,0.0141
45.0,0.4722
46.0,0.0192
47.0,0.2407
48.0,0.1750
49.0,0.0950
50.0,0.6060
51.0,0.3536
52.0,0.0356
53.0,0.0151
54.0,0.2468
55.0,0.0013
56.0,0.9999
57.0,0.9833
58.0,0.9471
59.0,0.0682
60.0,0.0744
61.0,0.0528
62.0,0.0072
63.0,0.0946
64.0,0.4663
65.0,0.6583
66.0,0.9565
67.0,0.2657
68.0,0.0947
69.0,0.5911
70.0,0.9999
71.0,0.9697
72.0,0.0233
73.0,0.1096
74.0,0.4217
75.0,0.9984
76.0,0.9999
77.0,0.4331
78.0,0.2438
79.0,0.3612
80.0,0.0023
81.0,0.9839
82.0,0.0101
83.0,0.1981
84.0,0.2657
85.0,0.0974
86.0,0.2037
87.0,0.6497
88.0,0.6160
89.0,0.0942
90.0,0.2894
91.0,0.4009
92.0,0.2262
93.0,0.7587
94.0,0.6159
95.0,0.1030
96.0,0.8995
97.0,0.9944
98.0,0.0880
99.0,0.3151
100.0,0.0455
101.0,0.5927
102.0,0.2763
103.0,0.1199
104.0,0.1423
105.0,0.9889
106.0,0.5966
107.0,0.5435
108.0,0.5821
109.0,0.9440
110.0,0.1884
111.0,0.1488
112.0,0.7599
113.0,0.7893
114.0,0.7220
115.0,0.2601
116.0,0.9966
117.0,0.4065
118.0,0.2657
119.0,0.7583
120.0,0.9224
121.0,0.6682
122.0,0.3573
123.0,0.0292
124.0,0.9994
125.0,0.1328
126.0,0.2128
127.0,0.7715
128.0,0.4677
129.0,0.1138
130.0,0.9159
131.0,0.0124
132.0,0.3052
133.0,0.1609
134.0,0.6107
135.0,0.8483
136.0,0.0549
137.0,0.3840
138.0,0.9707
139.0,0.1509
140.0,0.0499
141.0,0.0527
142.0,0.9966
143.0,0.3175
144.0,0.1322
145.0,0.5758
146.0,0.0340
147.0,0.6094
148.0,0.7905
149.0,0.3420
150.0,0.8442
151.0,0.2657
152.0,0.8384
153.0,0.0652
154.0,0.4527
155.0,0.1115
156.0,0.7185
157.0,0.9963
158.0,0.2657
159.0,0.2105
160.0,0.9645
161.0,0.1518
162.0,0.2972
163.0,0.6936
164.0,0.1801
165.0,0.9883
166.0,0.5989
167.0,0.0041
168.0,0.9999
169.0,0.9864
170.0,0.0140
171.0,0.9999
172.0,0.6081
173.0,0.1838
174.0,0.9998
175.0,0.5824
176.0,0.9932
177.0,0.4715
178.0,0.5643
179.0,0.9997
180.0,0.7777
181.0,0.1043
182.0,0.7813
183.0,0.0306
184.0,0.6390
185.0,0.7335
186.0,0.4272
187.0,0.1625
188.0,0.1438
189.0,0.9952
190.0,0.3138
191.0,0.2657
192.0,0.9808
193.0,0.0610
194.0,1.8658
195.0,0.3903
196.0,1.0
197.0,0.1494
198.0,0.0001
199.0,0.9991
200.0,0.4535
201.0,0.1568
202.0,0.4619
203.0,0.5262
204.0,0.5255
205.0,0.9934
206.0,0.9961
207.0,0.4391
208.0,0.9991
209.0,0.0131
210.0,0.2556
211.0,0.2315
212.0,0.8561
213.0,0.9596
214.0,0.9575
215.0,0.8987
216.0,0.5123
217.0,0.9944
218.0,0.9999
219.0,0.0990
220.0,0.2272
221.0,0.2315
222.0,0.9773
223.0,0.8815
224.0,0.9991
225.0,0.9999
226.0,0.2657
227.0,0.1576
228.0,0.0928
229.0,0.7234
230.0,0.4887
231.0,0.3343
232.0,0.0929
233.0,0.9967
234.0,0.3659
235.0,0.9984
236.0,0.0411
237.0,0.8337
238.0,0.9877
239.0,0.0131
240.0,0.9849
241.0,0.0023
242.0,0.0280
243.0,0.9816
244.0,0.8127
245.0,0.2335
246.0,0.0960
247.0,0.1289
248.0,0.5028
249.0,0.6447
250.0,0.4362
251.0,0.8764
252.0,0.9980
253.0,0.3691
254.0,0.9956
255.0,0.0010
256.0,0.1342
257.0,0.2657
258.0,0.0549
259.0,0.8873
260.0,0.4677
261.0,0.1179
262.0,0.0687
263.0,0.0392
264.0,4.2200
265.0,0.0001
266.0,0.0103
267.0,0.9336
268.0,0.7436
269.0,0.9561
270.0,0.9699
271.0,0.0984
272.0,0.0290
273.0,0.4089
274.0,0.1048
275.0,0.2521
276.0,0.0964
277.0,0.0917
278.0,0.2646
279.0,0.8811
280.0,0.9998
281.0,2.4416
282.0,0.9996
283.0,0.8872
284.0,1.0554
285.0,0.0679
286.0,0.8059
287.0,0.5395
288.0,0.1870
289.0,0.3322
290.0,0.9562
291.0,0.9672
292.0,0.7101
293.0,0.4275
294.0,0.1801
295.0,0.6070
296.0,0.9009
297.0,0.0924
298.0,0.9995
299.0,0.1153
300.0,0.9236
301.0,0.2512
302.0,0.0824
303.0,0.0916
304.0,0.0103
305.0,0.4677
306.0,0.4132
307.0,0.6053
308.0,0.3171
309.0,0.8285
310.0,0.4362
311.0,0.0014
312.0,0.1311
313.0,0.1156
314.0,0.1230
315.0,0.9980
316.0,0.6373
317.0,0.9895
318.0,0.9817
319.0,0.0102
320.0,0.8285
321.0,0.3704
322.0,0.0079
323.0,0.1375
324.0,0.9933
325.0,0.3555
326.0,0.9838
327.0,0.8747
328.0,0.5318
329.0,0.9998
330.0,0.9999
331.0,0.3390
332.0,0.0389
333.0,0.3694
334.0,0.0226
335.0,0.2657
336.0,0.2836
337.0,0.9912
338.0,0.1916
339.0,0.5372
340.0,2.8737
341.0,0.5636
342.0,0.0008
343.0,0.2843
344.0,0.5067
345.0,0.2502
346.0,0.6015
347.0,0.1635
348.0,0.4805
349.0,0.0014
350.0,0.1557
351.0,0.1723
352.0,0.3715
353.0,0.2463
354.0,0.0212
355.0,0.3123
356.0,0.9999
357.0,0.1747
358.0,0.1860
359.0,0.5522
360.0,0.0561
361.0,0.4132
362.0,0.1644
363.0,0.1069
364.0,0.2076
365.0,0.0575
366.0,0.9435
367.0,0.9566
368.0,0.2938
369.0,0.3396
370.0,0.3052
371.0,0.4038
372.0,0.1557
373.0,0.0477
374.0,0.1826
375.0,0.0001
376.0,0.8072
377.0,0.6545
378.0,0.5310
379.0,0.1801
380.0,0.1494
381.0,0.1218
382.0,0.9790
383.0,0.4305
384.0,0.1594
385.0,0.3673
386.0,0.2093
387.0,0.7420
388.0,0.9999
389.0,0.0445
390.0,0.1531
391.0,0.7965
392.0,0.3992
393.0,0.0844
394.0,0.3828
395.0,0.2831
396.0,0.7359
397.0,0.0005
398.0,0.9589
399.0,0.2265
400.0,0.1960
401.0,0.0006
402.0,0.0002
403.0,0.3434
404.0,0.1296
405.0,0.4677
406.0,0.1619
407.0,0.1094
408.0,0.1589
409.0,0.0173
410.0,0.9716
411.0,0.0181
412.0,0.9987
413.0,0.2728
414.0,0.2053
415.0,0.8041
416.0,0.4677
417.0,0.1854
418.0,0.6819
419.0,0.5672
420.0,0.5450
421.0,1.0
422.0,0.0560
423.0,0.2653
424.0,0.9451
425.0,0.4994
426.0,0.2265
427.0,0.5791
428.0,0.1306
429.0,7.0134
430.0,0.9230
431.0,0.3188
432.0,0.5607
433.0,0.9998
434.0,0.2637
435.0,0.0150
436.0,0.0303
437.0,0.9351
438.0,0.9008
439.0,0.9929
440.0,0.0530
441.0,6.7803
442.0,0.9678
443.0,0.4659
444.0,0.0289
445.0,0.7557
446.0,0.9998
447.0,0.1801
448.0,0.4795
449.0,0.9546
450.0,0.1053
451.0,0.4734
452.0,0.7552
453.0,0.0037
454.0,0.0017
455.0,0.0272
456.0,0.9877
457.0,0.0149
458.0,0.0744
459.0,0.9719
460.0,0.0486
461.0,0.0007
462.0,0.9999
463.0,0.0714
464.0,0.8103
465.0,0.1101
466.0,0.9209
467.0,0.9979
468.0,0.0604
469.0,0.2383
470.0,0.5789
471.0,0.9980
472.0,0.4952
473.0,0.2504
474.0,0.6387
475.0,0.9675
476.0,0.8136
477.0,0.0507
478.0,0.1111
479.0,0.2841
480.0,0.5728
481.0,0.0843
482.0,0.0761
483.0,0.1120
484.0,0.1414
485.0,0.1718
486.0,0.1016
487.0,0.4801
488.0,0.1706
489.0,0.0007
490.0,0.1448
491.0,0.1930
492.0,0.2657
493.0,0.1931
494.0,0.2601
495.0,0.8739
496.0,0.9498
497.0,0.4272
498.0,0.9738
499.0,0.0849
500.0,0.6728
501.0,0.0338
502.0,0.3112
503.0,0.3057
504.0,0.9911
505.0,0.4732
506.0,0.0632
507.0,0.1322
508.0,0.3076
509.0,0.0483
510.0,0.3950
511.0,0.8161
512.0,0.3452
513.0,0.3599
514.0,0.7868
515.0,0.8904
516.0,0.9750
517.0,0.3008
518.0,0.0234
519.0,0.0501
520.0,0.4272
521.0,0.3153
522.0,0.1115
523.0,0.9986
524.0,6.7331
525.0,0.1472
526.0,0.7725
527.0,0.0106
528.0,0.0851
529.0,0.0037
530.0,0.0035
531.0,0.9898
532.0,0.1130
533.0,0.5912
534.0,0.9805
535.0,0.4897
536.0,0.2762
537.0,0.9760
538.0,0.8987
539.0,0.7359
540.0,0.4421
541.0,0.3517
542.0,0.3343
543.0,0.9497
544.0,0.7006
545.0,0.9999
546.0,0.9999
547.0,0.1109
548.0,0.8993
549.0,0.0136
550.0,0.7359
551.0,0.9999
552.0,0.2010
553.0,0.9671
554.0,0.1230
555.0,0.3576
556.0,0.9084
557.0,0.4185
558.0,0.2958
559.0,0.4060
560.0,0.0371
561.0,0.9999
562.0,0.8314
563.0,0.9650
564.0,0.9983
565.0,0.9494
566.0,0.4535
567.0,0.9800
568.0,0.9030
569.0,0.9999
570.0,0.1356
571.0,0.6526
572.0,0.2106
573.0,0.2135
574.0,0.7410
575.0,0.0339
576.0,0.6083
577.0,0.7639
578.0,0.9954
579.0,0.7670
580.0,0.6735
581.0,0.0690
582.0,0.9800
583.0,0.9370
584.0,0.9929
585.0,0.0386
586.0,0.0108
587.0,0.0005
588.0,0.7138
589.0,0.5829
590.0,0.0499
591.0,0.9939
592.0,0.4677
593.0,0.3012
594.0,0.8937
595.0,0.0929
596.0,0.0244
597.0,0.9821
598.0,0.9999
599.0,0.7030
600.0,0.2657
601.0,1.0
602.0,0.0784
603.0,0.5941
604.0,0.0046
605.0,0.9999
606.0,0.7418
607.0,0.9985
608.0,0.2978
609.0,3.2867
610.0,0.1961
611.0,0.2657
612.0,0.6001
613.0,0.7238
614.0,0.9999
615.0,0.9093
616.0,0.0631
617.0,0.0092
618.0,0.9578
619.0,0.6445
620.0,0.2657
621.0,0.9761
622.0,0.9991
623.0,0.6745
624.0,0.9956
625.0,0.5974
626.0,0.1277
627.0,0.1802
628.0,0.8007
629.0,0.0184
630.0,0.9999
631.0,0.1115
632.0,0.1226
633.0,0.6947
634.0,0.6322
635.0,0.0067
636.0,0.2999
637.0,0.9689
638.0,0.0371
639.0,0.1182
640.0,0.9996
641.0,0.3694
642.0,0.9890
643.0,0.9858
644.0,0.7274
645.0,0.4645
646.0,0.4166
647.0,0.9503
648.0,0.2657
649.0,0.0138
650.0,0.2601
651.0,0.9981
652.0,0.6675
653.0,0.7563
654.0,0.2788
655.0,0.9857
656.0,0.3551
657.0,0.3728
658.0,0.2265
659.0,0.9546
660.0,0.8477
661.0,0.6526
662.0,0.0388
663.0,0.1640
664.0,0.5631
665.0,1.2228
666.0,0.1864
667.0,0.9195
668.0,0.1281
669.0,0.8391
670.0,0.2421
671.0,0.2322
672.0,0.9999
673.0,0.0076
674.0,0.8149
675.0,0.1103
676.0,0.9684
677.0,0.0001
678.0,0.2488
679.0,0.7876
680.0,0.1869
681.0,0.5912
682.0,0.0263
683.0,0.8230
684.0,0.2657
685.0,1.0
686.0,0.9680
687.0,0.0545
688.0,0.7228
689.0,0.6021
690.0,0.9958
691.0,0.5040
692.0,0.8875
693.0,0.9652
694.0,0.9040
695.0,0.5161
696.0,0.2144
697.0,0.2314
698.0,0.3260
699.0,0.2265
700.0,0.7359
701.0,0.3694
702.0,0.9999
703.0,0.2853
704.0,0.3503
705.0,0.7254
706.0,0.5161
707.0,0.1066
708.0,0.0097
709.0,1.0
710.0,0.5088
711.0,0.9999
712.0,5.8786
713.0,0.1189
714.0,0.1414
715.0,0.0667
716.0,0.9395
717.0,0.0203
718.0,0.0561
719.0,0.9917
720.0,0.8877
721.0,0.7359
722.0,0.3126
723.0,0.9606
724.0,0.9999
725.0,0.6916
726.0,0.0323
727.0,0.0059
728.0,0.9549
729.0,0.2855
730.0,0.4741
731.0,0.4512
732.0,0.6324
733.0,0.0014
734.0,0.1940
735.0,0.0023
736.0,0.8349
737.0,0.0002
738.0,0.6281
739.0,0.2675
740.0,0.8750
741.0,1.0
742.0,0.2238
743.0,0.0033
744.0,2.2604
745.0,0.6754
746.0,0.5901
747.0,0.7901
748.0,0.0383
749.0,0.0971
750.0,0.9968
751.0,0.4362
752.0,0.8746
753.0,0.3845
754.0,0.1494
755.0,0.2807
756.0,0.0917
757.0,0.0001
758.0,0.2406
759.0,0.5253
760.0,0.2657
761.0,3.6242
762.0,0.6532
763.0,0.0055
764.0,0.5382
765.0,0.1319
766.0,0.0270
767.0,0.2380
768.0,0.0866
769.0,0.0028
770.0,0.9543
771.0,0.9800
772.0,0.6265
773.0,0.8160
774.0,0.5377
775.0,0.7905
776.0,1.0134
777.0,0.6041
778.0,0.9999
779.0,0.2120
780.0,0.3112
781.0,0.0169
782.0,0.1626
783.0,0.0354
784.0,0.0722
785.0,0.2001
786.0,0.8428
787.0,0.8749
788.0,0.0200
789.0,0.3697
790.0,0.1049
791.0,0.3322
792.0,0.0160
793.0,0.8138
794.0,0.2246
795.0,0.1176
796.0,0.3478
797.0,0.1322
798.0,0.1845
799.0,0.8877
800.0,0.0152
801.0,0.0830
802.0,0.7968
803.0,0.3153
804.0,0.9005
805.0,0.6834
806.0,0.4913
807.0,0.0002
808.0,0.8396
809.0,0.9563
810.0,0.1527
811.0,0.9783
812.0,0.5430
813.0,0.4633
814.0,0.1277
815.0,0.1838
816.0,0.2657
817.0,0.0632
818.0,0.9939
819.0,0.0066
820.0,0.9994
821.0,0.2608
822.0,0.0506
823.0,0.3963
824.0,0.0029
825.0,0.0230
826.0,0.6740
827.0,0.4014
828.0,0.8241
829.0,0.0496
830.0,0.7874
831.0,0.9972
832.0,0.7558
833.0,0.1956
834.0,0.4128
835.0,0.1761
836.0,0.2657
837.0,0.9991
838.0,0.1606
839.0,0.0896
840.0,0.7331
841.0,0.9877
842.0,0.7359
843.0,0.0863
844.0,0.1386
845.0,0.0139
846.0,0.0007
847.0,0.5778
848.0,0.0338
849.0,0.4496
850.0,0.0555
851.0,0.4639
852.0,0.9864
853.0,0.1325
854.0,3.6749
855.0,0.9999
856.0,0.0026
857.0,0.0217
858.0,0.6425
859.0,0.5395
860.0,0.8370
861.0,0.8298
862.0,0.0001
863.0,0.1533
864.0,0.1410
865.0,0.6127
866.0,0.1866
867.0,0.9347
868.0,0.0096
869.0,0.0752
870.0,0.8379
871.0,0.5509
872.0,0.3052
873.0,0.9491
874.0,0.4871
875.0,0.7210
876.0,0.0006
877.0,0.4878
878.0,0.9999
879.0,0.8460
880.0,0.0069
881.0,0.0671
882.0,0.1048
883.0,0.1279
884.0,0.0634
885.0,0.6637
886.0,0.9975
887.0,0.0288
888.0,0.1458
889.0,0.0928
890.0,0.7727
891.0,0.7876
892.0,0.9991
893.0,0.0665
894.0,0.3094
895.0,0.0002
896.0,0.9983
897.0,0.0805
898.0,0.0841
899.0,0.0478
900.0,0.3479
901.0,0.6063
902.0,0.0319
903.0,0.0616
904.0,0.8429
905.0,0.2258
906.0,0.3515
907.0,1.6840
908.0,0.0902
909.0,0.9994
910.0,0.3015
911.0,0.5581
912.0,0.9150
913.0,0.3417
914.0,0.9400
915.0,0.3765
916.0,0.0252
917.0,0.6196
918.0,0.9247
919.0,0.1102
920.0,0.0506
921.0,0.2053
922.0,0.1821
923.0,0.8615
924.0,0.0058
925.0,0.4265
926.0,0.6522
927.0,0.1029
928.0,0.6547
929.0,0.9978
930.0,0.6621
931.0,0.9947
932.0,0.1506
933.0,0.0157
934.0,0.0555
935.0,0.0003
936.0,0.3243
937.0,0.1417
938.0,0.1817
939.0,0.0003
940.0,0.9999
941.0,0.9694
942.0,0.4253
943.0,0.6005
944.0,0.2512
945.0,0.1642
946.0,0.1494
947.0,6.3618
948.0,0.0333
949.0,0.8905
950.0,0.8158
951.0,0.7593
952.0,0.1801
953.0,0.9838
954.0,0.9131
955.0,0.0404
956.0,0.3052
957.0,0.2736
958.0,0.9177
959.0,0.1030
960.0,0.9535
961.0,0.8116
962.0,0.1073
963.0,0.0297
964.0,0.9964
965.0,0.5989
966.0,0.7309
967.0,0.9630
968.0,0.1277
969.0,0.9403
970.0,0.1838
971.0,0.3533
972.0,0.0815
973.0,0.1740
974.0,0.0322
975.0,0.2657
976.0,0.4543
977.0,0.2336
978.0,0.5893
979.0,0.5117
980.0,0.4329
981.0,0.0019
982.0,0.2265
983.0,0.7643
984.0,0.9999
985.0,0.3428
986.0,0.8319
987.0,0.0525
988.0,0.7022
989.0,0.2034
990.0,0.3138
991.0,0.9999
992.0,0.4367
993.0,0.8837
994.0,6.4720
995.0,0.3439
996.0,0.0736
997.0,0.0516
998.0,0.5153
999.0,0.2915
1000.0,0.0002
1001.0,0.2246
1002.0,0.6230
1003.0,0.0989
1004.0,0.9929
1005.0,0.6197
1006.0,0.0510
1007.0,0.6729
1008.0,0.8465
1009.0,0.9807
1010.0,0.8176
1011.0,0.2894
1012.0,0.4144
1013.0,0.0747
1014.0,0.3609
1015.0,0.9986
1016.0,0.1649
1017.0,0.0687
1018.0,0.2657
1019.0,0.8514
1020.0,0.2007
1021.0,0.0455
1022.0,0.4555
1023.0,0.9828
1024.0,0.5112
1025.0,0.4511
1026.0,0.2053
1027.0,0.2520
1028.0,0.2306
1029.0,5.6213
1030.0,0.0004
1031.0,0.8628
1032.0,0.8469
1033.0,0.0053
1034.0,0.9391
1035.0,0.0023
1036.0,0.9999
1037.0,0.9994
1038.0,0.2131
1039.0,0.0573
1040.0,0.9865
1041.0,0.5466
1042.0,0.3950
1043.0,0.8769
1044.0,0.9722
1045.0,0.4677
1046.0,0.9304
1047.0,0.2644
1048.0,0.0760
1049.0,0.3112
